web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676624600-2815","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=386","birth place: istanbul, turkey (map)","turkish","other language(s): german japanese","age, sex: 19, male","age of english onset: 14","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/turkish6.mp3","turkish6"
"1676624602-2816","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=385","birth place: istanbul, turkey (map)","turkish","other language(s): none","age, sex: 30, female","age of english onset: 11","english learning method: academic","english residence: usa","length of english residence: 5 years","/soundtracks/turkish5.mp3","turkish5"
"1676624605-2817","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=384","birth place: kayseri, turkey (map)","turkish","other language(s): none","age, sex: 20, male","age of english onset: 14","english learning method: academic","english residence: usa","length of english residence: 0.4 years","/soundtracks/turkish4.mp3","turkish4"
"1676624608-2818","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=383","birth place: adana, turkey (map)","turkish","other language(s): kurdish","age, sex: 27, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 1.2 years","/soundtracks/turkish3.mp3","turkish3"
"1676624610-2819","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=382","birth place: ankara, turkey (map)","turkish","other language(s): german","age, sex: 24, male","age of english onset: 16","english learning method: academic","english residence: usa","length of english residence: 0.2 years","/soundtracks/turkish2.mp3","turkish2"
"1676624613-2820","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=381","birth place: bingol, turkey (map)","turkish","other language(s): none","age, sex: 27, female","age of english onset: 26","english learning method: academic","english residence: usa","length of english residence: 0.8 years","/soundtracks/turkish1.mp3","turkish1"
"1676624615-2821","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=380","birth place: madang, madang province, papua new guinea (map)","tok pisin","other language(s): kuanua manem","age, sex: 38, male","age of english onset: 4","english learning method: academic","english residence: usa","length of english residence: 6 years","/soundtracks/tokpisin1.mp3","tok pisin1"
"1676624617-2822","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=379","birth place: asmara, eritrea (map)","tigrigna","other language(s): amharic italian arabic","age, sex: 44, male","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 22 years","/soundtracks/tigrigna3.mp3","tigrigna3"
"1676624620-2823","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=378","birth place: asmara, eritrea (map)","tigrigna","other language(s): amharic oromo","age, sex: 23, female","age of english onset: 20","english learning method: academic","english residence: usa","length of english residence: 3 years","/soundtracks/tigrigna2.mp3","tigrigna2"
"1676624622-2824","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=377","birth place: adigrat, ethiopia (map)","tigrigna","other language(s): amharic","age, sex: 25, female","age of english onset: 17","english learning method: academic","english residence: usa","length of english residence: 5 years","/soundtracks/tigrigna1.mp3","tigrigna1"
"1676624625-2825","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=376","birth place: mysore, india (map)","tibetan","other language(s): hindi-urdu","age, sex: 20, female","age of english onset: 7","english learning method: academic","english residence: usa","length of english residence: 0.7 years","/soundtracks/tibetan3.mp3","tibetan3"
"1676624627-2826","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=375","birth place: khamba, tibet (map)","tibetan","other language(s): mandarin","age, sex: 41, female","age of english onset: 35","english learning method: academic","english residence: usa","length of english residence: 0.1 years","/soundtracks/tibetan2.mp3","tibetan2"
"1676624630-2827","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=374","birth place: lhasa, tibet (map)","tibetan","other language(s): mandarin french","age, sex: 26, female","age of english onset: 13","english learning method: academic","english residence: usa","length of english residence: 0.5 years","/soundtracks/tibetan1.mp3","tibetan1"
